compound_id,smiles,compound_type,known_activity,description
CDK_089,CN1CCCCC1.Nc1n[nH]c2ccccc12,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 55
DECOY_175,C1CCNCC1.CO.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_177,Br.CN.O=CO.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_043,CN.CN1CCCCC1.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_196,CO.NC=O.N[SH](=O)=O.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_264,CN1CCCCC1.F.N[SH](=O)=O.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_011,CCC(=O)Oc1ccccc1C(=O)O,decoy,inactive,Aspirin analog
DECOY_130,Br.FC(F)F.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_232,Br.C1CCNCC1.FC(F)F.NC=O,decoy,inactive,Drug-like decoy compound
CDK_191,CN1CCCCC1.CO.N[SH](=O)=O,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_166,CN1CCCCC1.CO.F.N[SH](=O)=O,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_055,Nc1n[nH]c2ccccc12.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 21
CDK_213,C1CCNCC1.FC(F)F.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_051,CCN(C)C.Cn1ccc2ncncc21,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 17
DECOY_219,Br.CN1CCCCC1.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_050,C1CCNCC1.FC(F)F.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_212,CN1CCCCC1.CO.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_058,CN.CN1CCCCC1.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_267,CN.O=CO.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_056,CN1CCCCC1.Cl.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_046,Br.C1CCNCC1.NC=O,decoy,inactive,Drug-like decoy compound
CDK_059,COc1ccccc1.Nc1n[nH]c2ccccc12,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 25
CDK_049,C1CCNCC1.CC(C)C.Cn1ncc2ncncc21.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 15
DECOY_153,C1CCNCC1.Cl.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_162,CN1CCCCC1.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_094,FC(F)F.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_022,Cc1ccc(N(C)c2nccc(Nc3ccc(C(=O)NCc4ccccn4)cc3)n2)cc1C,CDK_inhibitor,CDK4/6_active,Ribociclib analog 1
DECOY_135,Br.CN1CCCCC1.Cl.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_249,N[SH](=O)=O.O=CO.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_037,CC(=O)Nc1ccc(O)cc1,decoy,inactive,Diuretic compound
DECOY_110,FC(F)F.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_210,CN1CCCCC1.CO.F.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_059,CO.FC(F)F.NC=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_222,CN1CCCCC1.CO.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_119,C1CCNCC1.CO.NC=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_191,Br.CN1CCCCC1.FC(F)F.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_202,C1CCNCC1.FC(F)F.N[SH](=O)=O.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_171,Br.C1CCNCC1.NC=O,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_188,Cl.FC(F)F.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_026,CCCC(C)NCC(O)COc1ccc(CC(N)=O)cc1,decoy,inactive,Beta-blocker compound
CDK_131,CC(C)C.Cn1ccc2ncncc21,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 97
DECOY_028,COc1ccc(CC(=O)O)cc1OCC(O)CNC(C)C,decoy,inactive,Antifungal compound
CDK_210,C1CCNCC1.NC=O.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_100,CN1CCCCC1.CN1CCCCC1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 66
CDK_217,Br.CN.CN1CCCCC1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_088,CN1CCCCC1.COc1ccccc1.Clc1ccccc1.Cn1ncc2ncncc21,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 54
DECOY_221,C1CCNCC1.CN.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_144,CN1CCCCC1.Cl.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_074,Br.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_224,C1CCNCC1.CN1CCCCC1.CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_122,CN1CCCCC1.Cn1ccc2ncncc21.FC(F)(F)c1ccccc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 88
DECOY_242,C1CCNCC1.CO.F.FC(F)F,decoy,inactive,Drug-like decoy compound
CDK_021,CCN(C)c1ncnc2ccc(Nc3cccc(C#N)c3)cc12,CDK_inhibitor,CDK4/6_active,Palbociclib analog 1
DECOY_057,Br.CN.FC(F)F.O=CO,decoy,inactive,Drug-like decoy compound
CDK_072,CCN(C)C.Nc1ncnc(Nc2ccccc2)n1.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 38
CDK_107,Clc1ccccc1.Cn1ncc2ncncc21,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 73
DECOY_107,CN1CCCCC1.N[SH](=O)=O.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_154,Br.FC(F)F.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_203,CO.FC(F)F.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_103,CC(C)C.Nc1nc(N)c2ccccc2n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 69
